any,5382,10991,14203,26056,26060
,,,,,
,,,,,
Y,553,583,479,479,479
Y,513,553,429,429,429
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,500,500,500,500,500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,259,259,159,159,159
Y,1019,1039,899,899,899
,,,,,
Y,1319,1339,1449,1429,1429
Y,1389,1389,1389,1389,1389
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,219,219,219,219,219
,,,,,
,,,,,
Y,669,669,398,398,398
,,,,,
Y,1019,999,699,699,699
,,,,,
,,,,,
Y,299,299,299,299,299
,,,,,
Y,1069,1099,999,999,999
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,999,999,939,939,939
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,1819,1879,1629,1629,1629
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,2319,2339,2129,2139,2129
,,,,,
Y,3219,3199,2819,2819,2819
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,3519,3499,3069,3069,3069
Y,929,929,799,799,799
Y,739,739,739,739,739
Y,719,699,649,649,649
,,,,,
,,,,,
,,,,,
,,,,,
Y,1189,1219,1099,1079,1079
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,239,239,159,159,159
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,539,559,449,449,449
Y,819,799,719,719,719
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,899,929,869,869,869
Y,1409,1439,1369,1369,1369
Y,899,929,869,869,869
Y,1419,1439,1369,1369,1369
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,559,619,469,469,469
Y,819,919,699,699,699
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,199,199,169,169,169
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,129,129,99,99,99
,,,,,
,,,,,
Y,719,699,679,649,649
,,,,,
Y,1059,1099,909,909,919
,,,,,
Y,1189,1219,1079,1079,1079
,,,,,
Y,79,79,59,59,59
Y,619,639,499,479,479
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,239,239,239,239,239
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,3079,3079,2739,2739,2743
Y,319,319,199,199,199
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,0,0,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,389,389,319,319,319
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,239,239,239,239,239
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,339,339,339,339,339
Y,379,379,379,379,379
Y,1038,1018,919,919,919
,,,,,
,,,,,
,,,,,
Y,169,169,169,169,169
,,,,,
,,,,,
,,,,,
Y,959,979,789,789,789
Y,1499,1499,1319,1319,1319
Y,959,979,789,789,789
Y,1499,1499,1319,1319,1319
,,,,,
,,,,,
,,,,,
Y,519,519,499,499,499
Y,769,769,759,759,759
,,,,,
Y,569,569,500,500,500
,,,,,
,,,,,
Y,359,419,319,319,319
Y,419,459,379,379,379
Y,679,679,500,500,500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,219,199,169,169,169
,,,,,
Y,219,199,169,169,169
,,,,,
Y,219,199,169,169,169
Y,219,199,169,169,169
Y,219,199,169,169,169
Y,219,199,169,169,169
Y,219,199,169,169,169
,,,,,
,,,,,
,,,,,
Y,219,199,169,169,169
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,219,219,239,239,239
,,,,,
Y,239,239,239,239,239
,,,,,
,,,,,
,,,,,
,,,,,
Y,259,259,159,159,159
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,239,239,239,239,239
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,0,0,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
Y,919,939,799,799,
Y,1479,1499,1319,1319,
Y,919,919,799,799,
Y,1479,1439,1319,1319,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,389,379,309,309,309
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,959,959,839,819,819
Y,1389,1429,1269,1269,1269
Y,499,499,419,419,419
Y,1039,1019,919,919,919
Y,,,,769,
Y,,,,1199,
,,,,,
,,,,,
Y,279,279,199,199,199
Y,949,959,889,869,869
Y,1299,1339,1269,1269,1269
Y,379,379,339,339,339
Y,500,500,579,579,579
,,,,,
Y,1099,1149,1049,1049,1049
Y,1639,1679,1539,1539,1539
,,,,,
,,,,,
,,,,,
Y,1049,1079,989,989,989
Y,1519,1599,1499,1519,1519
Y,929,959,919,919,919
Y,1479,1499,1419,1419,1419
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,439,489,449,449,449
Y,679,729,679,679,679
Y,459,449,389,389,389
Y,689,729,669,669,669
,,,,,
,,,,,
Y,549,579,469,469,469
Y,829,909,729,729,729
,,,,,
,,,,,
Y,539,559,439,439,439
,,,,,
Y,819,799,719,719,719
,,,,,
Y,269,279,149,149,159
,,,,,
,,,,,
Y,189,189,139,139,139
Y,619,659,519,499,499
Y,919,989,769,769,789
,,,,,
,,,,,
Y,299,299,199,199,199
,,,,,
,,,,,
Y,500,500,500,500,500
Y,319,319,319,319,319
,,,,,
,,,,,
,,,,,
Y,639,689,539,559,559
Y,959,999,819,799,819
,,,,,
Y,619,659,519,499,499
Y,919,989,769,769,789
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,143,143,142,142,142
Y,143,143,142,142,142
Y,143,143,142,142,142
Y,143,143,142,142,142
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,3419,3399,2919,2919,2919
,,,,,
Y,679,679,599,599,599
,,,,,
Y,999,1049,999,999,999
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,1299,1349,1249,1249,1249
,,,,,
Y,869,849,769,769,769
Y,589,589,499,499,499
,,,,,
Y,469,489,429,429,429
Y,729,729,550,550,550
,,,,,
Y,589,589,489,489,489
Y,869,849,769,769,769
,,,,,
Y,869,849,769,769,769
Y,589,589,499,499,499
,,,,,
Y,79,79,50,50,50
,,,,,
,,,,,
Y,759,779,749,749,749
Y,949,979,919,919,919
Y,1469,1489,1419,1419,1419
Y,769,779,649,649,649
Y,1119,1149,1049,1049,1049
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,239,239,239,239,239
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,389,389,319,319,319
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,219,189,179,179,179
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,739,759,699,699,699
,,,,,
Y,1259,1269,1199,1199,1199
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,279,299,299,299,299
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,569,569,569,569,569
Y,569,569,569,569,569
,,,,,
Y,569,569,569,569,569
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,529,529,529,529,529
Y,529,529,529,529,529
,,,,,
Y,529,529,529,529,529
,,,,,
Y,539,539,539,539,539
Y,539,539,539,539,539
Y,539,539,539,539,539
,,,,,
,,,,,
,,,,,
Y,489,489,489,489,489
Y,489,489,489,489,489
Y,489,489,489,489,489
Y,539,539,539,539,539
Y,539,539,539,539,539
Y,539,539,539,539,539
,,,,,
Y,489,489,489,489,489
Y,489,489,489,489,489
,,,,,
Y,489,489,489,489,489
,,,,,
Y,499,499,499,499,499
Y,499,499,499,499,499
,,,,,
,,,,,
,,,,,
,,,,,
Y,489,489,489,489,489
Y,489,489,489,489,489
Y,489,489,489,489,489
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,299,339,229,229,229
,,,,,
Y,299,299,299,299,299
,,,,,
,,,,,
,,,,,
Y,129,129,99,99,99
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,539,529,439,439,439
Y,689,719,519,519,519
,,,,,
Y,689,719,519,519,519
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,369,369,369,369,369
Y,500,500,500,500,500
,,,,,
,,,,,
Y,0,0,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,119,119,121,121,121
Y,119,119,121,121,121
Y,119,119,121,121,121
Y,119,119,121,121,121
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,4319,,4319,4319,4319
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,259,229,199,199,199
,,,,,
,,,,,
Y,389,369,299,299,299
Y,419,429,309,309,309
Y,449,459,339,339,339
,,,,,
Y,569,589,439,439,439
Y,499,469,399,399,399
,,,,,
Y,,,,400,
Y,399,399,349,349,349
Y,519,529,439,439,439
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,599,619,519,519,519
Y,449,459,339,339,339
,,,,,
Y,559,589,439,439,439
Y,553,583,479,479,479
,,,,,
Y,449,459,339,339,339
Y,,,,350,
Y,,,,400,
,,,,,
,,,,,
