any,2245,11019,25001,25010
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,1059,1059,1059,1079
Y,1399,1399,1399,1399
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,299,299,299,299
,,,,
,,,,
,,,,
Y,629,629,,629
,,,,
,,,,
,,,,
,,,,
Y,219,219,219,219
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,1759,1759,1759,1759
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,749,749,749,749
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,899,899,899,899
Y,899,899,899,899
Y,769,769,769,769
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,50,50,50,50
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,199,199,199,199
,,,,
Y,199,199,199,199
,,,,
Y,599,599,,599
,,,,
,,,,
Y,579,579,579,579
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,249,249,,249
,,,,
Y,699,699,,699
,,,,
Y,699,699,,699
,,,,
Y,319,319,,319
,,,,
,,,,
,,,,
,,,,
,,,,
Y,739,739,,739
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,249,249,,249
Y,319,319,,319
Y,699,699,,699
Y,739,739,,739
,,,,
,,,,
Y,699,699,,699
,,,,
,,,,
Y,699,699,,699
,,,,
Y,699,699,,699
,,,,
,,,,
Y,739,739,,739
,,,,
,,,,
,,,,
,,,,
,,,,
Y,319,319,,319
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,0,0,0,0
,,,,
,,,,
Y,0,0,0,0
,,,,
Y,819,819,819,819
,,,,
,,,,
,,,,
Y,699,699,699,699
,,,,
Y,169,169,169,169
,,,,
Y,169,169,169,169
Y,169,169,169,169
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,1200,1200,1200,1200
,,,,
Y,1200,1200,,1200
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,249,249,249,249
Y,169,169,169,169
,,,,
Y,169,169,169,169
,,,,
,,,,
,,,,
Y,319,319,,319
,,,,
,,,,
,,,,
,,,,
Y,499,499,,499
Y,559,559,,559
Y,429,429,,429
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,349,349,349,349
Y,409,409,409,409
Y,289,289,289,289
,,,,
Y,329,329,329,329
Y,369,369,369,369
Y,289,289,289,289
,,,,
Y,349,349,349,349
Y,409,409,409,409
Y,289,289,289,289
Y,289,289,289,289
Y,329,329,329,329
Y,249,249,249,249
,,,,
,,,,
,,,,
,,,,
,,,,
Y,239,239,239,239
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,99,99,99,99
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,169,169,169,169
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,99,99,99,99
,,,,
,,,,
,,,,
,,,,
,,,,
Y,249,,249,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,199,199,199,199
Y,499,499,499,499
,,,,
,,,,
Y,549,549,549,549
Y,549,549,549,549
Y,549,549,549,549
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,369,369,,369
Y,419,419,,419
Y,329,329,,329
,,,,
,,,,
Y,449,449,449,449
Y,449,449,449,449
Y,449,449,449,449
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,0,0,0,0
,,,,
,,,,
Y,219,219,219,219
,,,,
,,,,
,,,,
Y,79,79,,79
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,399,399,399,399
,,,,
Y,399,399,399,399
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,79/89,79/89,,79/89
,,,,
Y,129,129,,129
Y,549,549,549,549
Y,549,549,549,549
Y,649,649,649,649
Y,649,649,649,649
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,369,369,,369
Y,419,419,,419
Y,329,329,,329
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y,1119,1119,1119,1119
,,,,
Y,319,319,,319
Y,1019,1019,1019,1019
,,,,
,,,,
Y,349,349,349,349
